sim_id,master_seed,grid_size,ac_amount,habitat,fragmentation,niche_breadth,dispersal,disp_dist,step,step_label,samp_method,sample_id,cell_id,x_loc,y_loc,patch_id,patch_size,species_id,n
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,242,6
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,247,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,259,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,261,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,262,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,265,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,266,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,274,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,276,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,300,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,309,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,310,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,323,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,335,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,360,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,379,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",1,1864,38,14,1,2499,388,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,301,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,321,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,325,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,339,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,342,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,345,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,359,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,375,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,384,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,387,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,398,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,410,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,420,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,425,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,426,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,428,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,437,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,443,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,444,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,457,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,460,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,462,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,463,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,465,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,470,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,478,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,488,3
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,501,3
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,505,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,511,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,551,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,566,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,592,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",2,1856,38,6,1,2499,622,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",3,260,6,10,1,2499,199,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",3,260,6,10,1,2499,300,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",3,260,6,10,1,2499,306,1
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",3,260,6,10,1,2499,335,2
"0083",215,50,0.7,1,NA,0.1,1,5,40,"pre_fragmentation","random",3,260,6,10,1,2499,342,1
